Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.AspNetCore.Authentication.Google 9.0.14,,,,,"Microsoft.AspNetCore.Authentication.Google, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.Authentication.Google, and replace with new package Microsoft.AspNetCore.Authentication.Google 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.10,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.10  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.AspNetCore.Identity.UI 9.0.10,,,,,"Microsoft.AspNetCore.Identity.UI, 9.0.10  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.10,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot\Program.cs,106,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot\Program.cs,45,0,T:Microsoft.Extensions.DependencyInjection.GoogleExtensions,,,,,"builder.Services.AddAuthentication(options =>  {      options.DefaultAuthenticateScheme = IdentityConstants.ApplicationScheme;      options.DefaultChallengeScheme = IdentityConstants.ApplicationScheme;  })      .AddGoogle(""Google"", options => // Configure Google OAuth - Storing Credentials Securely      {          var clientId = builder.Configuration[""Authentication:Google:ClientId""];          var clientSecret = builder.Configuration[""Authentication:Google:ClientSecret""];            if (string.IsNullOrEmpty(clientId) || string.IsNullOrEmpty(clientSecret))          {              throw new InvalidOperationException(""Google OAuth credentials are not configured."");          }                    options.ClientId = clientId;          options.ClientSecret = clientSecret;          // https://console.cloud.google.com/ -> after Y register your app ->          // create OAuth 2.0 Client ID -> copy the client ID and client secret here          // https://console.cloud.google.com/ -> register your app -> set the authorized redirect URI          // to https://localhost:????/signin-google (or whatever your app URL is) -> use this path as CallbackPath          options.CallbackPath = ""/signin-google""; // This should match the authorized redirect URI you set in the Google Developer Console          options.SignInScheme = IdentityConstants.ExternalScheme;          options.SaveTokens = true; // Important: This saves access tokens as UserTokens          options.Events = new OAuthEvents          {              OnCreatingTicket = async context =>              {                  // Store the access token and refresh token                  var accessToken = context.AccessToken;                  var refreshToken = context.RefreshToken;                    if (!string.IsNullOrEmpty(accessToken))                  {                      context.Properties.StoreTokens(new[]                      {                          new AuthenticationToken { Name = ""access_token"", Value = accessToken },                          new AuthenticationToken { Name = ""refresh_token"", Value = refreshToken ?? """" }                      });                  }              }          };      });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,JobSpot\JobSpot.csproj,File,JobSpot\JobSpot\Program.cs,45,0,"M:Microsoft.Extensions.DependencyInjection.GoogleExtensions.AddGoogle(Microsoft.AspNetCore.Authentication.AuthenticationBuilder,System.String,System.Action{Microsoft.AspNetCore.Authentication.Google.GoogleOptions})",,,,,"builder.Services.AddAuthentication(options =>  {      options.DefaultAuthenticateScheme = IdentityConstants.ApplicationScheme;      options.DefaultChallengeScheme = IdentityConstants.ApplicationScheme;  })      .AddGoogle(""Google"", options => // Configure Google OAuth - Storing Credentials Securely      {          var clientId = builder.Configuration[""Authentication:Google:ClientId""];          var clientSecret = builder.Configuration[""Authentication:Google:ClientSecret""];            if (string.IsNullOrEmpty(clientId) || string.IsNullOrEmpty(clientSecret))          {              throw new InvalidOperationException(""Google OAuth credentials are not configured."");          }                    options.ClientId = clientId;          options.ClientSecret = clientSecret;          // https://console.cloud.google.com/ -> after Y register your app ->          // create OAuth 2.0 Client ID -> copy the client ID and client secret here          // https://console.cloud.google.com/ -> register your app -> set the authorized redirect URI          // to https://localhost:????/signin-google (or whatever your app URL is) -> use this path as CallbackPath          options.CallbackPath = ""/signin-google""; // This should match the authorized redirect URI you set in the Google Developer Console          options.SignInScheme = IdentityConstants.ExternalScheme;          options.SaveTokens = true; // Important: This saves access tokens as UserTokens          options.Events = new OAuthEvents          {              OnCreatingTicket = async context =>              {                  // Store the access token and refresh token                  var accessToken = context.AccessToken;                  var refreshToken = context.RefreshToken;                    if (!string.IsNullOrEmpty(accessToken))                  {                      context.Properties.StoreTokens(new[]                      {                          new AuthenticationToken { Name = ""access_token"", Value = accessToken },                          new AuthenticationToken { Name = ""refresh_token"", Value = refreshToken ?? """" }                      });                  }              }          };      });"
